#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Jul 20 12:14:41 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc2vp50
#SPEED GRADE:      -7
#PACKAGE:          ff1152
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A2,,GTIPAD,RXNPAD11,UNUSED,,,,,,,,,,,,
A3,,GTIPAD,RXPPAD11,UNUSED,,,,,,,,,,,,
A4,,GTOPAD,TXPPAD11,UNUSED,,,,,,,,,,,,
A5,,GTOPAD,TXNPAD11,UNUSED,,,,,,,,,,,,
A6,,GTIPAD,RXNPAD9,UNUSED,,,,,,,,,,,,
A7,,GTIPAD,RXPPAD9,UNUSED,,,,,,,,,,,,
A8,,GTOPAD,TXPPAD9,UNUSED,,,,,,,,,,,,
A9,,GTOPAD,TXNPAD9,UNUSED,,,,,,,,,,,,
A10,,GTIPAD,RXNPAD8,UNUSED,,,,,,,,,,,,
A11,,GTIPAD,RXPPAD8,UNUSED,,,,,,,,,,,,
A12,,GTOPAD,TXPPAD8,UNUSED,,,,,,,,,,,,
A13,,GTOPAD,TXNPAD8,UNUSED,,,,,,,,,,,,
A14,,GTIPAD,RXNPAD7,UNUSED,,,,,,,,,,,,
A15,,GTIPAD,RXPPAD7,UNUSED,,,,,,,,,,,,
A16,,GTOPAD,TXPPAD7,UNUSED,,,,,,,,,,,,
A17,,GTOPAD,TXNPAD7,UNUSED,,,,,,,,,,,,
A18,,GTIPAD,RXNPAD6,UNUSED,,,,,,,,,,,,
A19,,GTIPAD,RXPPAD6,UNUSED,,,,,,,,,,,,
A20,,GTOPAD,TXPPAD6,UNUSED,,,,,,,,,,,,
A21,,GTOPAD,TXNPAD6,UNUSED,,,,,,,,,,,,
A22,,GTIPAD,RXNPAD5,UNUSED,,,,,,,,,,,,
A23,,GTIPAD,RXPPAD5,UNUSED,,,,,,,,,,,,
A24,,GTOPAD,TXPPAD5,UNUSED,,,,,,,,,,,,
A25,,GTOPAD,TXNPAD5,UNUSED,,,,,,,,,,,,
A26,,GTIPAD,RXNPAD4,UNUSED,,,,,,,,,,,,
A27,,GTIPAD,RXPPAD4,UNUSED,,,,,,,,,,,,
A28,,GTOPAD,TXPPAD4,UNUSED,,,,,,,,,,,,
A29,,GTOPAD,TXNPAD4,UNUSED,,,,,,,,,,,,
A30,,GTIPAD,RXNPAD2,UNUSED,,,,,,,,,,,,
A31,,GTIPAD,RXPPAD2,UNUSED,,,,,,,,,,,,
A32,,GTOPAD,TXPPAD2,UNUSED,,,,,,,,,,,,
A33,,GTOPAD,TXNPAD2,UNUSED,,,,,,,,,,,,
AA1,,DIFFM,IO_L60P_3,UNUSED,,3,,,,,,,,,,
AA2,,DIFFS,IO_L54N_3,UNUSED,,3,,,,,,,,,,
AA3,,DIFFS,IO_L52N_3,UNUSED,,3,,,,,,,,,,
AA4,,DIFFM,IO_L52P_3,UNUSED,,3,,,,,,,,,,
AA5,adc1dataeveni_n<2>,DIFFS,IO_L49N_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AA6,adc1dataeveni_p<2>,DIFFM,IO_L49P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AA7,adc1dataeveni_n<3>,DIFFS,IO_L47N_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AA8,adc1dataeveni_p<3>,DIFFM,IO_L47P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AA9,,DIFFS,IO_L44N_3,UNUSED,,3,,,,,,,,,,
AA10,,DIFFM,IO_L44P_3,UNUSED,,3,,,,,,,,,,
AA11,,,VCCO_3,,,3,,,,,2.50,,,,,
AA12,,,VCCO_3,,,3,,,,,2.50,,,,,
AA13,,,VCCINT,,,,,,,,1.5,,,,,
AA14,,,GND,,,,,,,,,,,,,
AA15,,,GND,,,,,,,,,,,,,
AA16,,,GND,,,,,,,,,,,,,
AA17,,,GND,,,,,,,,,,,,,
AA18,,,GND,,,,,,,,,,,,,
AA19,,,GND,,,,,,,,,,,,,
AA20,,,GND,,,,,,,,,,,,,
AA21,,,GND,,,,,,,,,,,,,
AA22,,,VCCINT,,,,,,,,1.5,,,,,
AA23,,,VCCO_6,,,6,,,,,2.50,,,,,
AA24,,,VCCO_6,,,6,,,,,2.50,,,,,
AA25,,DIFFM,IO_L44P_6,UNUSED,,6,,,,,,,,,,
AA26,,DIFFS,IO_L44N_6,UNUSED,,6,,,,,,,,,,
AA27,sram0_address<8>,IOB,IO_L47P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AA28,sram0_address<9>,IOB,IO_L47N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AA29,sram0_address<12>,IOB,IO_L49P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AA30,sram0_dq<8>,IOB,IO_L49N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AA31,sram0_dq<4>,IOB,IO_L52P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AA32,sram0_dq<5>,IOB,IO_L52N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
